,text_latinamerica,text_spain,encoded_latinamerica_spain,encoded_latinamerica,text_prediction
0,¡Hay regalos en la mayoría de las películas! ¿Sabes qué? Estoy dispuesto a reconsiderarlo. De hecho…,¡Salen regalos en la mayoría de películas! ¿Sabes qué? Estoy dispuesto a reconsiderarlo. Podría…,<s>¡Hay regalos en la mayoría de las películas! ¿Sabes qué? Estoy dispuesto a reconsiderarlo. De hecho…</s>>>>><p>¡Salen regalos en la mayoría de películas! ¿Sabes qué? Estoy dispuesto a reconsiderarlo. Podría…</p>,<s>¡Hay regalos en la mayoría de las películas! ¿Sabes qué? Estoy dispuesto a reconsiderarlo. De hecho…</s>>>>><p>,¡Hay regalos en la mayoría de las películas! ¿Sabes qué? Estoy dispuesto a reconsiderarlo. De hecho…
1,Aunque en la costa no podría ser más distinto.,pero la costa es totalmente distinta.,<s>Aunque en la costa no podría ser más distinto.</s>>>>><p>pero la costa es totalmente distinta.</p>,<s>Aunque en la costa no podría ser más distinto.</s>>>>><p>,Aunque en la costa no podría ser más distinto.
2,"de cuando Operaciones Especiales se enfrenta a las tropas indígenas,","Tomaban a tropas indígenas,","<s>de cuando Operaciones Especiales se enfrenta a las tropas indígenas,</s>>>>><p>Tomaban a tropas indígenas,</p>","<s>de cuando Operaciones Especiales se enfrenta a las tropas indígenas,</s>>>>><p>","de cuando Operaciones Especiales se enfrenta a las fuerzas indígenas,"
3,Grace y yo creemos que deberíamos ir a Japón y bañarnos con macacos.,Grace y yo creemos que deberíamos ir todos a Japón a remojarnos con los macacos.,<s>Grace y yo creemos que deberíamos ir a Japón y bañarnos con macacos.</s>>>>><p>Grace y yo creemos que deberíamos ir todos a Japón a remojarnos con los macacos.</p>,<s>Grace y yo creemos que deberíamos ir a Japón y bañarnos con macacos.</s>>>>><p>,Grace y yo creemos que deberíamos ir a Japón y bañarnos con macacos.
4,"¡Quédate ahí! ¡Yo iré hasta ti! Ah, bien.",¡Quédate ahí! ¡Ya voy yo! Gracias a Dios.,"<s>¡Quédate ahí! ¡Yo iré hasta ti! Ah, bien.</s>>>>><p>¡Quédate ahí! ¡Ya voy yo! Gracias a Dios.</p>","<s>¡Quédate ahí! ¡Yo iré hasta ti! Ah, bien.</s>>>>><p>",¡Quédate ahí! ¡Yo voy a por ti! Vale.
5,Aislado. Solo en el mundo.,Aislado. Solo en el mundo.,<s>Aislado. Solo en el mundo.</s>>>>><p>Aislado. Solo en el mundo.</p>,<s>Aislado. Solo en el mundo.</s>>>>><p>,¿En serio? En el mundo.
6,Perdón... ¿Qué? Mi mamá y mis hermanos se van pasado mañana.,Lo siento. ¿Qué? Mi madre y mishermanos se van pasado mañana.,<s>Perdón... ¿Qué? Mi mamá y mis hermanos se van pasado mañana.</s>>>>><p>Lo siento. ¿Qué? Mi madre y mishermanos se van pasado mañana.</p>,<s>Perdón... ¿Qué? Mi mamá y mis hermanos se van pasado mañana.</s>>>>><p>,...Perdona... ¿Qué? Mi madre y mis hermanos se van a casa.
7,Escúchame con atención.,Presta atención a lo que te voy a decir.,<s>Escúchame con atención.</s>>>>><p>Presta atención a lo que te voy a decir.</p>,<s>Escúchame con atención.</s>>>>><p>,Íbamos a escuchar.
8,Pero usted no ha visto a esta muchacha. Yo la vi. La muchacha era…,Pero no ha visto a esta chica. Yo la vi. Esta chica era--,<s>Pero usted no ha visto a esta muchacha. Yo la vi. La muchacha era…</s>>>>><p>Pero no ha visto a esta chica. Yo la vi. Esta chica era--</p>,<s>Pero usted no ha visto a esta muchacha. Yo la vi. La muchacha era…</s>>>>><p>,No ha visto a esta chica. Yo la vi. La chica era…
9,No te mueras.,No te mueras.,<s>No te mueras.</s>>>>><p>No te mueras.</p>,<s>No te mueras.</s>>>>><p>,No te mueras.
10,La necesito. ¿Sabe por qué no sabe qué pasa de vacaciones?,Lo necesito. ¿Sabe por qué no sabe lo que pasa en sus vacaciones?,<s>La necesito. ¿Sabe por qué no sabe qué pasa de vacaciones?</s>>>>><p>Lo necesito. ¿Sabe por qué no sabe lo que pasa en sus vacaciones?</p>,<s>La necesito. ¿Sabe por qué no sabe qué pasa de vacaciones?</s>>>>><p>,La necesito. ¿Sabe por qué no sabe qué pasa de vacaciones?
11,¿Todo bien?,¿Va todo bien?,<s>¿Todo bien?</s>>>>><p>¿Va todo bien?</p>,<s>¿Todo bien?</s>>>>><p>,¿Todo bien?
12,"Un tipo así, de tu parte, se destripa por ti.","Pero si tienes a un tipo así a tu lado,","<s>Un tipo así, de tu parte, se destripa por ti.</s>>>>><p>Pero si tienes a un tipo así a tu lado,</p>","<s>Un tipo así, de tu parte, se destripa por ti.</s>>>>><p>","...un tío así, de tu parte, se te va a salir por la cabeza."
13,Pero debo informar a los abogados.,Pero tengo que informar a los abogados de que has vuelto.,<s>Pero debo informar a los abogados.</s>>>>><p>Pero tengo que informar a los abogados de que has vuelto.</p>,<s>Pero debo informar a los abogados.</s>>>>><p>,Tengo que informar a los abogados.
14,No puedes castigarme a mí...,"A mí no puedes castigarme,","<s>No puedes castigarme a mí...</s>>>>><p>A mí no puedes castigarme,</p>",<s>No puedes castigarme a mí...</s>>>>><p>,No puedes castigarme a mí...
15,"Es una situación volátil. Como los Baudelaire sabían, ""volátil"" significa ""inestable"" o ""que puede causar problemas"".","Qué situación tan volátil. Como los Baudelaire sabían, volátil es ""inestable"", o ""problemático"".","<s>Es una situación volátil. Como los Baudelaire sabían, ""volátil"" significa ""inestable"" o ""que puede causar problemas"".</s>>>>><p>Qué situación tan volátil. Como los Baudelaire sabían, volátil es ""inestable"", o ""problemático"".</p>","<s>Es una situación volátil. Como los Baudelaire sabían, ""volátil"" significa ""inestable"" o ""que puede causar problemas"".</s>>>>><p>","Es una situación volátil. Como los Baudelaire sabían, 'volátil' significa 'inestable' o 'que puede causar problemas'."
16,Yo también. Eso no es nada. Qué ternura.,Yo también. Juego de niños. Adorable.,<s>Yo también. Eso no es nada. Qué ternura.</s>>>>><p>Yo también. Juego de niños. Adorable.</p>,<s>Yo también. Eso no es nada. Qué ternura.</s>>>>><p>,No es nada. Qué besos.
17,esperaba en el bosque afuera de tu choza...,"siempre esperaba en el bosque fuera de tu choza,","<s>esperaba en el bosque afuera de tu choza...</s>>>>><p>siempre esperaba en el bosque fuera de tu choza,</p>",<s>esperaba en el bosque afuera de tu choza...</s>>>>><p>,...esperaba en el bosque...
